
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
11,Rafer Alston,PG,6-2,171,July 24 1976,5,California State University Fresno
55,Rafael Araujo,C,6-11,280,August 12 1980,R,Brigham Young University
16,Matt Bonner,C,6-10,235,April 5 1980,R,University of Florida
4,Chris Bosh,PF,6-11,235,March 24 1984,1,Georgia Institute of Technology
15,Vince Carter,SG,6-6,220,January 26 1977,6,University of North Carolina
1,Omar Cook,PG,6-1,190,January 28 1982,1,St. John's University
42,Donyell Marshall,PF,6-9,218,May 18 1973,10,University of Connecticut
6,Jerome Moiso,C,6-10,235,June 15 1978,4,University of California Los Angeles
21,Lamond Murray,SF,6-7,236,April 20 1973,9,University of California
10,Milt Palacio,PG,6-3,195,February 7 1978,5,Colorado State University
24,Morris Peterson,SG,6-7,218,August 26 1977,4,Michigan State University
5,Jalen Rose,SF,6-8,210,January 30 1973,10,University of Michigan
9,Pape Sow,C,6-10,250,November 22 1981,R,California State University Fullerton
34,Aaron Williams,C,6-9,220,October 2 1971,10,Xavier University
17,Eric Williams,SG,6-8,220,July 17 1972,9,Providence College
3,Loren Woods,C,7-1,245,June 21 1978,3,University of Arizona
